source,target
translate ASL to English: WOMAN BECOME,The girl became a woman and the woman became a man.
translate ASL to English: YANNI HAVE,Yanni has to work.
translate ASL to English: BASEBALL WE WANT,We want to play baseball.
translate ASL to English: DRIVE YOU LIKE,Would you like to go for a drive?
translate ASL to English: YOU GO,You can go home now if you want to.
translate ASL to English: FAMILY YANNI HAVE,Yanni has a family.
translate ASL to English: DAMN WHO GIVE,"Yes, but who gives a damn?"
translate ASL to English: WHAT TOM WANT,What does Tom want to buy?
translate ASL to English: TIME I BUY,I bought all of these at the same time.
translate ASL to English: HIGHWAY IT LIKE,What is it like to drive on the highway?
translate ASL to English: WHO CHOOSE,Who was chosen?
translate ASL to English: THAT WE SOUND,It sounds like we need to do that.
translate ASL to English: WHO COOK,Who cooked?
translate ASL to English: I NEED,I need to go alone.
translate ASL to English: ME YOU GO,You go to the same driving school as me.
translate ASL to English: THEM IT HAVE,What does it have to do with them?
translate ASL to English: EVERYTHING GO,Did everything go all right?
translate ASL to English: PEOPLE COME,How many people will be coming?
translate ASL to English: 'S LET,"Let's eat, drink, and be merry."
translate ASL to English: I DRINK,I drink to forget.
translate ASL to English: THAT NOBODY WANT,Nobody would want to drink that.
translate ASL to English: THAT ONE WANT,No one would want to drink that.
translate ASL to English: DRINK 'S LET,Let's meet downstairs for a drink.
translate ASL to English: DRINK YOU LOOK,It looks like you really need a drink.
translate ASL to English: DRINK I NEED,"After all of this, I need a drink."
translate ASL to English: PEOPLE DRINK,Some people drink to forget.
translate ASL to English: WORK SON DO,My son will do the work.
translate ASL to English: CONTRACT WE NEED,We'll need time to study this contract.
translate ASL to English: PLAN WE NEED,We'll need time to study this plan.
translate ASL to English: STUDY RELEASE,The study was released late last year.
translate ASL to English: YOU WE DO,Do what we tell you to do.
translate ASL to English: TIME THIS HAPPEN,This happens from time to time.
translate ASL to English: WORK TOM DO,Tom will do the work.
translate ASL to English: YOU I GIVE,I can't give it to you right now.
translate ASL to English: THIS I HAVE,I do not have the time to discuss this now.
translate ASL to English: CONSULATE I HAVE,Now I have to go to the consulate.
translate ASL to English: WHAT I TELL,I'll tell you what I want.
translate ASL to English: THIS ALL HAVE,All of this has to change.
translate ASL to English: FISH SEALS EAT,Seals eat mainly fish.
translate ASL to English: SOUP YOU COOK,How did you cook this soup?
translate ASL to English: WHAT YOU READ,Read what you want.
translate ASL to English: WHAT WE NEED,What do we need to survive?
translate ASL to English: BOOK I FINISH,I didn't finish the book.
translate ASL to English: JOBS WE WANT,We all want jobs.
translate ASL to English: JOBS ALL WANT,All of us want jobs.
translate ASL to English: PARK YOU LIKE,Do you like to walk in the park?
translate ASL to English: IT WHO KNOW,Who would know how to do it?
translate ASL to English: THOSE WE NEED,We need those.
translate ASL to English: JOBS WE NEED,We all need jobs.
translate ASL to English: PAINT WE NEED,We need paint.
translate ASL to English: HELP I NEED,I urgently need help.
translate ASL to English: CORN I EAT,I eat a lot of corn.
translate ASL to English: MOSQUITOES ANIMALS EAT,What animals eat mosquitoes?
translate ASL to English: VEGETABLES CHILDREN LIKE,Many children don't like to eat vegetables.
translate ASL to English: I WALK,I can walk no further.
translate ASL to English: MORE YOU SOUND,It sounds like you need to eat more.
translate ASL to English: THOSE TOM EAT,Tom will eat those.
translate ASL to English: DOG SOUND,It sounds like a dog is barking.
translate ASL to English: IT WORK,It doesn't work at all.
translate ASL to English: CYPRUS I WANT,I want to go to Cyprus.
translate ASL to English: TIME COME,At last Tom's time came.
translate ASL to English: WHAT YOU GO,Go ahead and do that if that's what you want to do.
translate ASL to English: COW EAT,The cow ate.
translate ASL to English: WE CHANGE,We can change.
translate ASL to English: TOM COOK,"Right now, Tom is cooking."
translate ASL to English: SCREEN TURN,The screen turned all black.
translate ASL to English: WHAT HE WANT,What does he want to be?
translate ASL to English: WHAT HE WANT,What does he want to become?
translate ASL to English: RIGHT EVERYONE HAVE,Everyone has the right to go crazy.
translate ASL to English: WHO SWIM,Who can swim?
translate ASL to English: ACCIDENT ONE INJURE,No one was injured in the accident.
translate ASL to English: LANGUAGE I LIKE,I like your language.
translate ASL to English: JOBS ALL NEED,All of us need jobs.
translate ASL to English: I GO,I will not go.
translate ASL to English: I DRINK,"I need to forget, therefore I drink."
translate ASL to English: WOMAN MAN LIKE,That man likes that woman.
translate ASL to English: LANGUAGES YOU WANT,How many languages do you want to learn?
translate ASL to English: YEAR THINGS HAPPEN,Many things can happen in a year.
translate ASL to English: SCHOOL I GO,I'm going to school now.
translate ASL to English: IT WE DO,We did it all.
translate ASL to English: MANY YOU HAVE,You can have as many as you like.
translate ASL to English: WINE WHO DRINK,Who drank all the wine?
translate ASL to English: TIME HE GO,He didn't go to school and had an excellent time.
translate ASL to English: YOU I DO,What can I do to help you right now?
translate ASL to English: I WANT,I want to dance tonight.
translate ASL to English: THEY WORK,They work all day.
translate ASL to English: YOU WORK,How many hours did you work today?
translate ASL to English: RESULT PEOPLE LIKE,Many people do not like to drink as a result.
translate ASL to English: TIME FLY,Time flies by.
translate ASL to English: WHITE I PLAY,I play white.
translate ASL to English: BLACK I PLAY,I play Black.
translate ASL to English: YANNI HAVE,Yanni has to go.
translate ASL to English: CHANNEL HE LIKE,He'd like to change the channel.
translate ASL to English: DOG YANNI BARK,Yanni was barking like a dog.
translate ASL to English: WHO KNOW,Who knows.
translate ASL to English: DOG YOU WANT,What kind of dog do you want to get?
translate ASL to English: TABLE MAN SIT,"At the table sat a man, a woman, and a girl."
translate ASL to English: IT I HAVE,I don't have time to explain it right now.
translate ASL to English: CANDY TOM EAT,Tom doesn't eat candy.
translate ASL to English: YANNI EAT,Yanni doesn't eat at all.
translate ASL to English: WHAT YOU WANT,What do you want to do this weekend?
translate ASL to English: BED I GO,I'm going to go to bed now.
translate ASL to English: ACCIDENT YANNI DO,Yanni did that before the accident.
translate ASL to English: IT YANNI LIKE,Yanni will like it.
translate ASL to English: BASKETBALL YANNI PLAY,Yanni can't play basketball.
translate ASL to English: TIME PERFORMANCE START,What time will the performance start?
translate ASL to English: YEAR IT FEEL,It felt like a year.
translate ASL to English: THAT YANNI DO,Yanni did all that.
translate ASL to English: WOMAN COME,The woman is coming.
translate ASL to English: CHAIR JACKET HANG,The jacket is hanging on the back of the chair.
translate ASL to English: CHAIR JACKET HANG,The jacket hangs on the back of the chair.
translate ASL to English: BUD YOU NEED,You need to nip this in the bud right now.
translate ASL to English: YANNI WALK,Yanni can walk now.
translate ASL to English: THAT YANNI DO,Yanni can do that now.
translate ASL to English: WALK 'S COME,"Come on, let's go for a walk."
translate ASL to English: HELP TOM NEED,Tom doesn't need help.
translate ASL to English: DOGS YOU LIKE,Do you like hot dogs?
translate ASL to English: MONDAY YOU WANT,What do you want to do on Monday?
translate ASL to English: ROOMS NEED,All the rooms need to be renovated.
translate ASL to English: RENOVATING ROOMS NEED,All the rooms need renovating.
translate ASL to English: MAN APPROACH,A man approached.
translate ASL to English: BUTTONS JACKET HAVE,This jacket has buttons.
translate ASL to English: TIME ELAPSE,How much time has elapsed?
translate ASL to English: THAT TOM DO,Tom did all that.
translate ASL to English: TOM WALK,Tom can walk now.
translate ASL to English: MANY COMPARE,Compare how many there were with how many are left.
translate ASL to English: WHAT TOM WANT,What does Tom want now?
translate ASL to English: WHAT TOM WANT,What does Tom want to be?
translate ASL to English: TIME EVERYONE TALK,Everyone is talking at the same time.
translate ASL to English: WHAT TOM LIKE,What does Tom like to do?
translate ASL to English: US TOM WANT,What does Tom want with us?
translate ASL to English: TIME TOM START,What time will Tom be starting?
translate ASL to English: THAT WHO KNOW,Who would know how to do that?
translate ASL to English: TOM WE NEED,We need to tell Tom.
translate ASL to English: IT DO,Do it better this time.
translate ASL to English: BOOK STUDENTS CONTINUE,Many school students continue to buy that book.
translate ASL to English: WHAT YOU WANT,What do you want to do afterwards?
translate ASL to English: BLACK YANNI WEAR,Yanni wore all black.
translate ASL to English: TIME YANNI HITCH,Yanni hitches all the time.
translate ASL to English: YANNI SHAKE,Yanni is shaking right now.
translate ASL to English: BOOK YANNI LIKE,Yanni doesn't like this book.
translate ASL to English: SCHOOL YANNI GO,Yanni doesn't go to school full time.
translate ASL to English: TOM WE WANT,We want to tell Tom.
translate ASL to English: TOM WE GO,We'll go tell Tom.
translate ASL to English: TIME WE NEED,We all need a hug from time to time.
translate ASL to English: AUSTRALIA YOU WANT,Do you want to work in Australia?
translate ASL to English: TOM WE NEED,We need to go with Tom.
translate ASL to English: JACKET TOM WEAR,Tom was wearing a black jacket.
translate ASL to English: WE NEED,We need to go home.
translate ASL to English: THAT WE NEED,We need to know that now.
translate ASL to English: WE NEED,We need to rest now.
translate ASL to English: SON YOU HAVE,You have a son.
translate ASL to English: TATOEBA CONSIDER,Tatoeba can be considered a language school.
translate ASL to English: BOSTON YOU WANT,Do you want to work in Boston?
translate ASL to English: SCHOOL I GO,Tom doesn't go to the same school as I do.
translate ASL to English: SKATING I WANT,I want to go skating.
translate ASL to English: THAT TOM WANT,Tom didn't want that at all.
translate ASL to English: SCHOOL YOU NEED,You need a lot of money to go to this school.
translate ASL to English: MUCH IT COST,"This hat, how much does it cost?"
translate ASL to English: COURT SCHOOL HAVE,The school now has a basketball court.
translate ASL to English: KING ABDICATE,The king abdicated last year.
translate ASL to English: FAMILY YANNI BEAR,Yanni was born to a black family.
translate ASL to English: SOMETHING IT ’,It’s time to eat something!
